City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
234,Simao,22.79,100.97,65.66,95,100,1.12,CN,overcast clouds
235,Yelanskiy,56.84,62.5,36.12,83,0,6.87,RU,clear sky
236,Lagos,6.58,3.75,76.12,89,64,4.32,NG,broken clouds
237,Saskylakh,71.92,114.08,20.79,96,89,12.24,RU,overcast clouds
238,Chuy,-33.7,-53.46,53.17,71,82,13.71,UY,broken clouds
239,Ilulissat,69.22,-51.1,33.8,69,40,4.7,GL,scattered clouds
240,Pleshanovo,52.83,53.48,51.49,79,0,4.68,RU,clear sky
241,Oksfjord,70.24,22.35,50.0,71,0,23.04,NO,clear sky
242,Skibbereen,51.55,-9.27,46.4,81,40,8.05,IE,light rain
243,College,64.86,-147.8,57.2,70,75,3.36,US,broken clouds
244,Inhambane,-23.86,35.38,75.0,88,75,6.93,MZ,broken clouds
245,Two Hills,53.72,-111.75,64.4,36,6,8.57,CA,clear sky
246,Dingle,11.0,122.67,76.44,87,97,1.5,PH,heavy intensity rain
247,Bhuban,20.88,85.83,77.92,94,35,2.13,IN,moderate rain
248,Kiruna,67.86,20.23,44.6,87,79,6.93,SE,broken clouds
249,Itaueira,-7.6,-43.03,96.94,21,100,5.64,BR,overcast clouds
250,Teya,60.38,92.63,43.43,88,100,8.93,RU,light rain
251,Usinsk,65.99,57.53,31.66,96,0,7.58,RU,clear sky
252,Azle,32.9,-97.55,82.99,37,40,17.22,US,scattered clouds
253,Ahuimanu,21.44,-157.84,82.99,69,40,9.17,US,scattered clouds
254,Biskupiec,53.86,20.96,64.4,72,75,10.29,PL,broken clouds
255,Marawi,8.0,124.29,75.0,90,82,5.01,PH,broken clouds
256,Nanortalik,60.14,-45.24,35.83,86,83,11.9,GL,broken clouds
257,Tateyama,34.98,139.87,70.0,87,99,1.99,JP,moderate rain
258,Codrington,-38.27,141.97,54.97,93,100,2.33,AU,light rain
259,Baculin,7.45,126.58,78.49,77,73,4.72,PH,broken clouds
260,Mikhaylovka,50.06,43.24,55.99,33,100,1.99,RU,overcast clouds
261,Saint-Philippe,-21.36,55.77,73.4,78,75,17.22,RE,broken clouds
262,Mega,4.05,38.3,64.96,61,8,10.4,ET,clear sky
263,Airai,-8.93,125.41,57.0,91,99,2.8,TL,overcast clouds
264,Riachao Do Dantas,-11.07,-37.73,76.73,71,26,9.98,BR,scattered clouds
265,Yeniseysk,58.45,92.17,40.84,89,100,6.64,RU,overcast clouds
266,Huilong,31.81,121.66,69.01,97,100,15.08,CN,light rain
267,Sturgeon Falls,46.36,-79.93,51.01,59,75,9.17,CA,broken clouds
268,Puerto Montt,-41.47,-72.94,59.0,33,75,4.7,CL,broken clouds
269,Yonibana,8.44,-12.24,74.52,97,100,1.86,SL,light rain
270,Half Moon Bay,37.46,-122.43,84.0,73,5,3.36,US,smoke
271,Oistins,13.07,-59.53,86.0,66,20,10.29,BB,few clouds
272,Puerto Leguizamo,-0.19,-74.78,91.17,44,5,3.85,CO,clear sky
273,Aksu,41.12,80.26,57.07,36,83,5.06,CN,broken clouds
274,Calama,-22.47,-68.93,80.6,8,0,20.8,CL,clear sky
275,Pontian Kecil,1.48,103.39,80.01,88,20,1.12,MY,few clouds
276,Sola,-13.88,167.55,78.21,80,1,20.85,VU,clear sky
277,Necochea,-38.55,-58.74,46.0,59,9,5.01,AR,clear sky
278,Sorong,-0.88,131.25,77.88,87,100,5.73,ID,overcast clouds
279,Vestmannaeyjar,63.44,-20.27,46.4,81,40,10.29,IS,scattered clouds
280,Aleksandrov Gay,50.15,48.57,56.73,54,8,5.86,RU,clear sky
281,Abu Samrah,35.3,37.18,65.19,80,0,6.2,SY,clear sky
282,Emirdag,39.02,31.15,59.92,34,0,1.39,TR,clear sky
283,Ban Nahin,18.24,104.21,76.23,89,100,1.54,LA,overcast clouds
284,Whitianga,-36.83,175.7,53.01,98,3,1.01,NZ,clear sky
285,Matara,5.95,80.54,78.82,84,100,11.34,LK,overcast clouds
286,Viseu,40.66,-7.91,59.0,75,39,7.0,PT,scattered clouds
287,Inta,66.03,60.17,31.53,96,10,7.76,RU,clear sky
288,Kamenka,51.32,42.77,48.99,47,100,6.67,RU,overcast clouds
289,Nuevo Progreso,23.17,-97.95,89.01,49,7,4.0,MX,clear sky
290,Cabatuan,10.88,122.49,77.18,84,96,1.9,PH,overcast clouds
291,Praia,14.92,-23.51,80.6,78,75,20.8,CV,broken clouds
292,Beringovskiy,63.05,179.32,36.99,93,100,18.7,RU,overcast clouds
293,Harrisburg,40.27,-76.88,64.4,34,1,6.93,US,clear sky
294,Eyl,7.98,49.82,79.0,82,73,11.56,SO,light rain
295,Ewa Beach,21.32,-158.01,82.4,78,20,4.7,US,few clouds
296,Kloulklubed,7.04,134.26,84.42,72,22,9.17,PW,few clouds
297,Zeya,53.75,127.27,39.96,78,100,6.22,RU,overcast clouds
298,Kamaishi,39.27,141.88,65.08,80,100,3.91,JP,overcast clouds
299,Bilibino,68.05,166.44,23.29,89,92,1.12,RU,overcast clouds
300,Chifeng,42.27,118.96,38.1,65,0,7.36,CN,clear sky
301,Nizwa,22.93,57.53,82.72,29,0,4.94,OM,clear sky
